104513 CD O 104513 d 
| CD O | o 
| CD O | o 
| CD O | o 
| NN O | o 
414 CD O 414 d 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
8517 CD O 8517 d 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
ECHO_REPORT REPORT O echo_report CoC 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
2014-04-22 CD O 2014-04-22 dodod 
00:00:00.0 CD O 00:00:00.0 dododod 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
PATIENT/TEST NN O patient/test CoC 
INFORMATION NN O information C 
: : O : o 
Indication NNP O indicat Cc 
: : O : o 
Congestive JJ OB congest Cc 
heart NN OI heart c 
failure NN OI failur c 
. . O . o 

Left VBN OB left Cc 
ventricular JJ OI ventricular c 
function NN OI function c 
. . O . o 

Shortness NN OB short Cc 
of IN OI of c 
breath NN OI breath c 
. . O . o 

Height NN O height Cc 
: : O : o 
-LRB- -LRB- O -lrb- oCo 
in IN O in c 
-RRB- -RRB- O -rrb- oCo 
71 CD O 71 d 
Weight NNP O weight Cc 
-LRB- -LRB- O -lrb- oCo 
lb NN O lb c 
-RRB- -RRB- O -rrb- oCo 
: : O : o 
208 CD O 208 d 
BSA NN O bsa C 
-LRB- -LRB- O -lrb- oCo 
m2 NN O m2 cd 
-RRB- -RRB- O -rrb- oCo 
: : O : o 
2.15 CD O 2.15 dod 
m2 NN O m2 cd 
BP NN O bp C 
-LRB- -LRB- O -lrb- oCo 
mm NN O mm c 
Hg NN O hg Cc 
-RRB- -RRB- O -rrb- oCo 
: : O : o 
104/66 CD O 104/66 dod 
HR NN O hr C 
-LRB- -LRB- O -lrb- oCo 
bpm NN O bpm c 
-RRB- -RRB- O -rrb- oCo 
: : O : o 
90 CD O 90 d 
Status NNP O status Cc 
: : O : o 
Inpatient NNP O inpatient Cc 
Date/Time NNP O date/tim CcoCc 
: : O : o 
-LSB- -LRB- O -lsb- oCo 
** SYM O ** o 
2014-04-22 CD O 2014-04-22 dodod 
** SYM O ** o 
-RSB- -RRB- O -rsb- oCo 
at IN O at c 
09:34 CD O 09:34 dod 
Test NN O test Cc 
: : O : o 
Portable NNP O portabl Cc 
TTE NNP O tte C 
-LRB- -LRB- O -lrb- oCo 
Complete JJ O complet Cc 
-RRB- -RRB- O -rrb- oCo 
Doppler NNP O doppler Cc 
: : O : o 
Full JJ O full Cc 
Doppler NNP O doppler Cc 
and CC O and c 
color NN O color c 
Doppler NNP O doppler Cc 
Contrast NNP O contrast Cc 
: : O : o 
None NN O none Cc 
Technical NNP O technic Cc 
Quality NNP O qualiti Cc 
: : O : o 
Suboptimal JJ O suboptim Cc 
| NNS O | o 
| VBP O | o 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
| CD O | o 
INTERPRETATION NNP O interpretation C 
: : O : o 
Findings NNS O find Cc 
: : O : o 
LEFT NNP O left C 
ATRIUM NNP O atrium C 
: : O : o 
Moderate JJ O moder Cc 
LA NNP OB la C 
enlargement NN OI enlarg c 
. . O . o 

LEFT NNP O left C 
VENTRICLE NNP O ventricle C 
: : O : o 
Normal JJ O normal Cc 
LV NN O lv C 
wall NN O wall c 
thicknesses NNS O thick c 
and CC O and c 
cavity NN O caviti c 
size NN O size c 
. . O . o 

Suboptimal JJ O suboptim Cc 
technical JJ O technic c 
quality NN O qualiti c 
, , O , o 
a DT O a c 
focal JJ O focal c 
LV NN OB lv C 
wall NN OI wall c 
motion NN OI motion c 
abnormality NN OI abnorm c 
can MD O can c 
not RB O not c 
be VB O be c 
fully RB O fulli c 
excluded VBN O exclud c 
. . O . o 

RIGHT NN O right C 
VENTRICLE NN O ventricle C 
: : O : o 
Normal JJ O normal Cc 
RV NN O rv C 
chamber NN O chamber c 
size NN O size c 
. . O . o 

Moderate JJ O moder Cc 
global JJ O global c 
RV NN O rv C 
free JJ O free c 
wall NN O wall c 
hypokinesis NN OB hypokinesi c 
. . O . o 

AORTA NN O aorta C 
: : O : o 
Moderately RB O moder Cc 
dilated VBN OB dilat c 
aortic JJ OI aortic c 
root NN OI root c 
. . O . o 

Moderately RB O moder Cc 
dilated VBN OB dilat c 
ascending VBG OI ascend c 
aorta NN OI aorta c 
. . O . o 

AORTIC NN O aortic C 
VALVE NN O valve C 
: : O : o 
Moderately RB O moder Cc 
thickened VBN OB thicken c 
aortic JJ O aortic c 
valve NN O valv c 
leaflets NNS O leaflet c 
. . O . o 

MITRAL NN O mitral C 
VALVE NN O valve C 
: : O : o 
Mitral JJ O mitral Cc 
valve NN O valv c 
not RB O not c 
well RB O well c 
seen VBN O seen c 
. . O . o 

Mild JJ O mild Cc 
mitral JJ OB mitral c 
annular JJ OI annular c 
calcification NN OI calcif c 
. . O . o 

TRICUSPID NN O tricuspid C 
VALVE NN O valve C 
: : O : o 
Tricuspid NN O tricuspid Cc 
valve NN O valv c 
not RB O not c 
well RB O well c 
visualized VBD O visual c 
. . O . o 

Indeterminate JJ O indetermin Cc 
PA NN O pa C 
systolic JJ O systol c 
pressure NN O pressur c 
. . O . o 

PERICARDIUM NN O pericardium C 
: : O : o 
No DT O no Cc 
pericardial JJ OB pericardi c 
effusion NN OI effus c 
. . O . o 

GENERAL NN O general C 
COMMENTS NNS O comments C 
: : O : o 
Suboptimal JJ O suboptim Cc 
image NN O imag c 
quality NN O qualiti c 
- : O - o 
poor JJ O poor c 
echo VBP O echo c 
windows NNS O window c 
. . O . o 

The DT O the Cc 
rhythm NN O rhythm c 
appears VBZ O appear c 
to TO O to c 
be VB O be c 
atrial JJ OB atrial c 
fibrillation NN OI fibril c 
. . O . o 

Echocardiographic JJ O echocardiograph Cc 
results NNS O result c 
were VBD O were c 
reviewed VBN O review c 
by IN O by c 
telephone NN O telephon c 
with IN O with c 
the DT O the c 
houseofficer NN O houseoffic c 
caring NN O care c 
for IN O for c 
the DT O the c 
patient NN O patient c 
. . O . o 

Conclusions NNPS O conclus Cc 
: : O : o 
Technically NNP O technic Cc 
suboptimal JJ O suboptim c 
study NN O studi c 
due JJ O due c 
to TO O to c 
pooor VB O pooor c 
acoustic JJ O acoust c 
windows NNS O window c 
. . O . o 

The DT O the Cc 
left JJ DB left c 
atrium NN DI atrium c 
is VBZ O is c 
moderately RB O moder c 
dilated VBN DI dilat c 
. . O . o 

Left VBN O left Cc 
ventricular JJ O ventricular c 
wall NN O wall c 
thicknesses NNS O thick c 
and CC O and c 
cavity NN O caviti c 
size NN O size c 
are VBP O are c 
normal JJ O normal c 
. . O . o 

Due JJ O due Cc 
to TO O to c 
suboptimal JJ O suboptim c 
technical JJ O technic c 
quality NN O qualiti c 
, , O , o 
a DT O a c 
focal JJ O focal c 
wall NN OB wall c 
motion NN OI motion c 
abnormality NN OI abnorm c 
can MD O can c 
not RB O not c 
be VB O be c 
fully RB O fulli c 
excluded VBN O exclud c 
. . O . o 

Global NNP O global Cc 
systolic JJ DB systol c 
function NN DI function c 
is VBZ O is c 
depressed VBN DI depress c 
? . O ? o 

global JJ O global c 
-LRB- -LRB- O -lrb- oCo 
LVEF NN O lvef C 
? . O ? o 

40 CD O 40 d 
% NN O % o 
-RRB- -RRB- O -rrb- oCo 
. . O . o 

Right RB O right Cc 
ventricular JJ O ventricular c 
chamber NN O chamber c 
size NN O size c 
is VBZ O is c 
normal JJ O normal c 
with IN O with c 
moderate JJ O moder c 
global JJ O global c 
free JJ O free c 
wall NN O wall c 
hypokinesis NN OB hypokinesi c 
. . O . o 

The DT O the Cc 
aortic JJ DB aortic c 
root NN DI root c 
and CC O and c 
ascending VBG DB ascend c 
aorta NN DI aorta c 
are VBP O are c 
moderately RB O moder c 
dilated VBN DI dilat c 
. . O . o 

The DT O the Cc 
aortic JJ O aortic c 
valve NN O valv c 
leaflets NNS O leaflet c 
are VBP O are c 
moderately RB O moder c 
thickened VBN OB thicken c 
. . O . o 

Significant JJ O signific Cc 
